ID,Question,Difficulty,Category,KG Answer,KG Latency,KG Score,Vector Answer,Vector Latency,Vector Score
Q1,What is the full name of the company?,Low,Basic Fact,"According to the context, the full name of the company is **Policybazaar Fintech Limited**....",16.99,0.5,"Based on the provided text chunks, I can answer your question accurately and concisely.  According t...",33.05,1.0
Q2,Who is the CEO of the company?,Low,Basic Fact,"According to the IPO document, Yashish Dahiya is the CEO of PB Fintech Limited....",19.12,1.0,"Based on the provided text chunks, I can answer your question accurately and concisely.  According t...",44.47,1.0
Q3,Where is the registered office located?,Low,Basic Fact,"Based on the provided context, I can answer your question.  The registered office location of **Mr. ...",10.65,0.0,"Based on the provided text chunks, I can answer your question accurately and concisely.  The relevan...",45.41,0.33
Q4,Who are the promoters of the company?,Medium,List/Structure,"Based on the IPO document, the promoters of the company are:  1. Yashish Dahiya 2. Mr. Alok Bansal 3...",23.21,0.67,"According to the provided text chunks, the answer is:  Our Company does not have an identifiable pro...",38.03,0.67
Q5,What was the Total Revenue for Fiscal 2021?,Medium,Financial,"I apologize, but there is no information about Total Revenue for Fiscal 2021 in the provided context...",11.4,0.67,"Based on the provided text chunks, I can answer your question accurately and concisely.  The relevan...",28.29,0.67
Q6,What are the internal risk factors?,Medium,Risk,"Based on the provided context, I did not find any specific internal risk factors mentioned. The cont...",6.21,0.0,"Based on the provided text chunks, the internal risk factors mentioned are:  1. The COVID-19 pandemi...",28.28,0.0
Q7,Who are the Selling Shareholders in the Offer for Sale?,High,Reasoning,"Based on the provided context, the Selling Shareholders are:  1. **Rajendra Singh Kuhar** (PERSON) -...",15.72,0.2,"Based on the provided text chunks, the Selling Shareholders in the Offer for Sale are:  1. SVF Pytho...",29.75,1.0
Q8,Explain the company's business model.,High,Synthesis,"Based on the provided context, Policybazaar Fintech Limited (PB Fintech Limited) is a fintech compan...",21.95,0.43,"Based on the provided text chunks, I can explain the company's business model as follows:  The compa...",43.62,1.0
Q9,What is the restated loss for the year 2021?,High,Complex Financial,"According to the context, the Restated Loss for the Year FY2021 has a value of -10 million INR....",5.22,0.6,"Based on the provided text chunks, I can answer your question accurately and concisely.  According t...",14.59,0.6
Q10,Does the company have any subsidiaries? List them.,High,Specificity,"Based on the IPO document, I can answer your question. According to the Knowledge Graph, yes, the co...",27.09,0.8,"Based on the provided text chunks, I can answer your question accurately and concisely.  According t...",42.94,0.6
